file_path,class,global_outlier,global_score,per_class_outlier,per_class_score,is_outlier
data/raw/Animal/train/cat/cat1.jpg,cat,False,0.146286,False,0.148206,False
data/raw/Animal/train/cat/cat10.jpg,cat,False,0.142854,False,0.141131,False
data/raw/Animal/train/cat/cat100.jpg,cat,False,0.1601,False,0.172164,False
data/raw/Animal/train/cat/cat1000.jpg,cat,False,0.146313,False,0.161449,False
data/raw/Animal/train/cat/cat1001.jpg,cat,False,0.15114,False,0.16758,False
data/raw/Animal/train/cat/cat1002.jpg,cat,False,0.15447,False,0.165626,False
data/raw/Animal/train/cat/cat1003.jpg,cat,False,0.154242,False,0.165336,False
data/raw/Animal/train/cat/cat1004.jpg,cat,False,0.048492,False,0.002045,False
data/raw/Animal/train/cat/cat1005.jpg,cat,False,0.153053,False,0.161379,False
data/raw/Animal/train/cat/cat1006.jpg,cat,False,0.161183,False,0.159105,False
data/raw/Animal/train/cat/cat1007.jpg,cat,False,0.158386,False,0.174263,False
data/raw/Animal/train/cat/cat1008.jpg,cat,False,0.161785,False,0.165322,False
data/raw/Animal/train/cat/cat1009.jpg,cat,False,0.070003,False,0.035909,False
data/raw/Animal/train/cat/cat101.jpg,cat,False,0.159259,False,0.173561,False
data/raw/Animal/train/cat/cat1010.jpg,cat,False,0.096473,False,0.096917,False
data/raw/Animal/train/cat/cat1011.jpg,cat,False,0.147432,False,0.161623,False
data/raw/Animal/train/cat/cat1012.jpg,cat,False,0.155302,False,0.150259,False
data/raw/Animal/train/cat/cat1013.jpg,cat,False,0.14099,False,0.162176,False
data/raw/Animal/train/cat/cat1014.jpg,cat,False,0.135731,False,0.138164,False
data/raw/Animal/train/cat/cat1015.jpg,cat,False,0.151183,False,0.156073,False
data/raw/Animal/train/cat/cat1016.jpg,cat,False,0.134258,False,0.146953,False
data/raw/Animal/train/cat/cat1017.jpg,cat,False,0.133805,False,0.107492,False
data/raw/Animal/train/cat/cat1018.jpg,cat,False,0.116815,False,0.088359,False
data/raw/Animal/train/cat/cat1019.jpg,cat,False,0.152722,False,0.153542,False
data/raw/Animal/train/cat/cat102.jpg,cat,False,0.089986,False,0.029553,False
data/raw/Animal/train/cat/cat1020.jpg,cat,False,0.163709,False,0.173021,False
data/raw/Animal/train/cat/cat1021.jpg,cat,False,0.115979,False,0.113182,False
data/raw/Animal/train/cat/cat1022.jpg,cat,False,0.151351,False,0.145128,False
data/raw/Animal/train/cat/cat1023.jpg,cat,False,0.150418,False,0.17213,False
data/raw/Animal/train/cat/cat1024.jpg,cat,False,0.161831,False,0.16533,False
data/raw/Animal/train/cat/cat1025.jpg,cat,False,0.093695,False,0.09513,False
data/raw/Animal/train/cat/cat1026.jpg,cat,False,0.152633,False,0.161939,False
data/raw/Animal/train/cat/cat1027.jpg,cat,False,0.153731,False,0.169426,False
data/raw/Animal/train/cat/cat1028.jpg,cat,False,0.16274,False,0.172894,False
data/raw/Animal/train/cat/cat1029.jpg,cat,False,0.1489,False,0.123326,False
data/raw/Animal/train/cat/cat103.jpg,cat,False,0.115794,False,0.087807,False
data/raw/Animal/train/cat/cat1030.jpg,cat,False,0.153589,False,0.161764,False
data/raw/Animal/train/cat/cat1031.jpg,cat,False,0.088136,False,0.09722,False
data/raw/Animal/train/cat/cat1032.jpg,cat,False,0.102014,False,0.10964,False
data/raw/Animal/train/cat/cat1033.jpg,cat,False,0.144063,False,0.164948,False
data/raw/Animal/train/cat/cat1034.jpg,cat,False,0.12083,False,0.148865,False
data/raw/Animal/train/cat/cat1035.jpg,cat,False,0.155164,False,0.164577,False
data/raw/Animal/train/cat/cat1036.jpg,cat,False,0.144457,False,0.147966,False
data/raw/Animal/train/cat/cat1037.jpg,cat,False,0.161204,False,0.177265,False
data/raw/Animal/train/cat/cat1038.jpg,cat,False,0.145818,False,0.133071,False
data/raw/Animal/train/cat/cat1039.jpg,cat,False,0.136586,False,0.152055,False
data/raw/Animal/train/cat/cat104.jpg,cat,False,0.025568,True,-0.093261,True
data/raw/Animal/train/cat/cat1040.jpg,cat,False,0.153922,False,0.157784,False
data/raw/Animal/train/cat/cat1041.jpg,cat,False,0.145224,False,0.152791,False
data/raw/Animal/train/cat/cat1042.jpg,cat,False,0.149851,False,0.091664,False
data/raw/Animal/train/cat/cat1043.jpg,cat,False,0.154498,False,0.15605,False
data/raw/Animal/train/cat/cat1044.jpg,cat,False,0.037947,True,-0.10816,True
data/raw/Animal/train/cat/cat1045.jpg,cat,False,0.153336,False,0.156061,False
data/raw/Animal/train/cat/cat1046.jpg,cat,False,0.129749,False,0.122542,False
data/raw/Animal/train/cat/cat1047.jpg,cat,False,0.153396,False,0.157975,False
data/raw/Animal/train/cat/cat1048.jpg,cat,False,0.157431,False,0.126144,False
data/raw/Animal/train/cat/cat1049.jpg,cat,False,0.135691,False,0.016182,False
data/raw/Animal/train/cat/cat105.jpg,cat,False,0.122834,False,0.083115,False
data/raw/Animal/train/cat/cat1050.jpg,cat,False,0.153628,False,0.165231,False
data/raw/Animal/train/cat/cat1051.jpg,cat,False,0.112564,False,0.144507,False
data/raw/Animal/train/cat/cat1052.jpg,cat,False,0.14006,False,0.145658,False
data/raw/Animal/train/cat/cat1053.jpg,cat,False,0.042435,True,-0.021027,True
data/raw/Animal/train/cat/cat1054.jpg,cat,False,0.146775,False,0.149535,False
data/raw/Animal/train/cat/cat1055.jpg,cat,False,0.130681,False,0.121866,False
data/raw/Animal/train/cat/cat1056.jpg,cat,False,0.13764,False,0.159775,False
data/raw/Animal/train/cat/cat1057.jpg,cat,False,0.138336,False,0.166796,False
data/raw/Animal/train/cat/cat1058.jpg,cat,False,0.145119,False,0.075659,False
data/raw/Animal/train/cat/cat1059.jpg,cat,False,0.148895,False,0.132573,False
data/raw/Animal/train/cat/cat106.jpg,cat,False,0.144067,False,0.147127,False
data/raw/Animal/train/cat/cat1060.jpg,cat,False,0.150746,False,0.172906,False
data/raw/Animal/train/cat/cat1061.jpg,cat,False,0.14846,False,0.015153,False
data/raw/Animal/train/cat/cat1062.jpg,cat,False,0.153961,False,0.139467,False
data/raw/Animal/train/cat/cat1063.jpg,cat,False,0.107857,False,0.072983,False
data/raw/Animal/train/cat/cat1064.jpg,cat,False,0.145534,False,0.170392,False
data/raw/Animal/train/cat/cat1065.jpg,cat,False,0.158933,False,0.169104,False
data/raw/Animal/train/cat/cat1066.jpg,cat,False,0.119573,False,0.068678,False
data/raw/Animal/train/cat/cat1067.jpg,cat,False,0.156296,False,0.156718,False
data/raw/Animal/train/cat/cat1068.jpg,cat,False,0.135903,False,0.159798,False
data/raw/Animal/train/cat/cat1069.jpg,cat,False,0.160053,False,0.170998,False
data/raw/Animal/train/cat/cat107.jpg,cat,False,0.16255,False,0.174642,False
data/raw/Animal/train/cat/cat1070.jpg,cat,False,0.112089,False,0.077379,False
data/raw/Animal/train/cat/cat1071.jpg,cat,False,0.151651,False,0.160403,False
data/raw/Animal/train/cat/cat1072.jpg,cat,False,0.152434,False,0.159293,False
